frame_num,track_id,xmin,ymin,xmax,ymax
1,6,946,322,998,496
2,6,948,311,1000,495
3,6,949,305,1001,495
4,6,949,303,1001,495
5,6,949,302,1001,495
6,6,949,302,1001,495
7,6,949,302,1001,495
8,6,949,303,1001,495
9,6,949,303,1001,495
10,6,949,304,1001,495
11,6,949,304,1001,495
12,6,949,304,1001,495
13,6,949,305,1001,495
14,6,949,305,1001,495
15,6,949,306,1001,495
16,6,949,307,1001,495
17,6,948,306,1001,495
18,6,947,306,1001,495
19,6,946,306,1001,495
20,6,944,307,1002,495
21,6,942,311,1005,495
22,6,940,315,1006,495
23,6,939,317,1007,495
24,6,939,319,1010,496
25,6,938,321,1008,496
26,6,940,322,1008,495
27,6,941,323,1007,495
28,6,943,324,1005,495
29,6,944,324,1003,495
30,6,945,324,1002,495
31,6,948,323,1001,495
32,6,950,324,1001,494
33,6,952,324,1001,494
34,6,954,324,1001,496
35,6,955,323,1002,495
36,6,957,322,1003,494
37,6,958,322,1003,494
38,6,958,322,1004,494
39,6,958,322,1004,493
40,6,959,324,1006,494
41,6,958,325,1008,495
42,6,959,325,1010,494
43,6,961,327,1012,494
44,6,969,326,1017,494
45,6,974,325,1020,495
46,6,976,324,1022,496
47,6,976,324,1024,496
48,6,979,323,1028,495
49,6,980,324,1034,495
50,6,980,324,1040,495
51,6,982,325,1045,495
52,6,983,327,1053,497
53,6,983,327,1057,499
54,6,982,330,1057,500
55,6,983,329,1057,500
56,6,983,328,1055,500
57,6,984,328,1055,500
58,6,984,328,1055,501
59,6,986,327,1055,501
60,6,993,327,1057,501
61,6,998,328,1059,501
62,6,1001,328,1062,501
63,6,1008,328,1065,501
64,6,1015,328,1069,500
65,6,1019,327,1073,501
66,6,1023,326,1078,502
67,6,1024,326,1083,502
68,6,1027,327,1087,503
69,6,1030,327,1093,503
70,6,1031,328,1095,504
71,6,1030,328,1098,506
72,6,1030,330,1100,507
73,6,1031,331,1103,509
74,6,1031,330,1104,509
75,6,1033,329,1104,508
76,6,1037,328,1104,508
77,6,1040,328,1105,507
78,6,1042,328,1106,505
79,6,1043,328,1107,507
80,6,1046,327,1108,511
81,6,1047,327,1109,513
82,6,1047,327,1111,515
83,6,1045,326,1113,516
84,6,1036,326,1119,517
85,6,1036,326,1121,516
86,6,1040,326,1125,518
87,6,1030,326,1129,518
88,6,1023,327,1133,520
89,6,1038,327,1134,523
90,6,1033,327,1138,523
91,6,1033,327,1138,523
92,6,1035,329,1141,523
93,6,1038,328,1143,524
94,6,1048,330,1147,526
95,6,1055,331,1148,527
96,6,1065,332,1149,526
97,6,1072,332,1149,524
98,6,1076,332,1149,524
99,6,1077,332,1150,526
100,6,1079,333,1151,528
101,6,1079,333,1151,530
102,6,1081,333,1150,531
103,6,1081,333,1151,532
104,6,1084,335,1153,532
105,6,1085,335,1153,532
106,6,1086,335,1155,531
107,6,1086,336,1155,531
108,6,1087,337,1158,531
109,6,1087,337,1162,532
110,6,1089,337,1164,532
111,6,1089,337,1167,534
112,6,1090,336,1170,537
113,6,1091,336,1172,540
114,6,1091,335,1177,541
115,6,1091,335,1181,541
116,6,1092,336,1176,542
117,6,1093,336,1176,543
118,6,1095,336,1174,543
119,6,1095,336,1172,544
120,6,1096,337,1170,548
121,6,1097,337,1168,549
122,6,1098,337,1167,551
123,6,1098,338,1168,553
124,6,1099,339,1171,555
125,6,1099,338,1174,556
126,6,1099,337,1176,557
127,6,1099,338,1179,557
128,6,1100,338,1184,559
129,6,1100,338,1187,559
130,6,1101,338,1192,559
131,6,1100,338,1192,558
132,6,1100,338,1191,560
133,6,1100,338,1191,561
134,6,1099,339,1193,562
135,6,1099,339,1199,565
136,6,1100,338,1197,568
137,6,1102,339,1193,571
138,6,1103,342,1187,572
139,6,1103,343,1184,574
140,6,1105,344,1181,576
141,6,1105,342,1179,580
142,6,1105,341,1178,580
143,6,1105,340,1177,579
144,6,1103,340,1178,579
145,6,1101,340,1179,579
146,6,1100,340,1178,577
147,6,1099,340,1178,578
148,6,1095,341,1177,579
149,6,1092,341,1178,580
150,6,1089,341,1179,581
151,6,1087,341,1181,583
152,6,1085,341,1186,586
153,6,1082,341,1191,588
154,6,1080,341,1194,592
155,6,1080,341,1196,593
156,6,1080,342,1196,594
157,6,1081,342,1196,595
158,6,1081,343,1196,597
159,6,1082,344,1192,599
160,6,1084,345,1188,602
161,6,1086,344,1186,604
162,6,1087,345,1185,604
163,6,1089,345,1184,603
164,6,1090,345,1182,602
165,6,1091,344,1179,600
166,6,1091,344,1177,600
167,6,1091,344,1175,600
168,6,1088,344,1172,602
169,6,1085,345,1170,604
170,6,1083,346,1167,604
171,6,1076,346,1164,605
172,6,1070,345,1161,607
173,6,1065,345,1158,608
174,6,1065,345,1156,609
174,10,812,324,854,439
175,6,1064,346,1155,609
175,10,812,327,856,440
176,6,1065,347,1154,611
176,10,817,326,859,443
177,6,1066,347,1152,612
177,10,819,325,861,447
178,6,1067,346,1150,612
178,10,821,324,862,446
179,6,1069,346,1147,612
179,10,822,325,863,449
180,6,1070,346,1145,612
180,10,824,325,867,451
181,6,1068,346,1141,613
181,10,826,323,869,452
182,6,1066,346,1137,613
182,10,828,324,871,452
183,6,1065,347,1134,614
183,10,830,323,873,451
184,6,1061,347,1130,614
184,10,832,323,875,451
185,6,1059,347,1129,615
185,10,833,324,876,451
186,6,1055,348,1128,617
186,10,838,323,877,450
187,6,1054,348,1126,620
187,10,840,323,879,447
188,6,1053,349,1122,625
188,10,841,323,881,449
189,6,1049,349,1119,628
189,10,842,323,882,451
190,6,1045,348,1116,631
190,10,842,325,883,451
191,6,1043,348,1114,630
191,10,841,326,887,450
192,6,1038,348,1112,630
192,10,842,324,891,453
193,6,1040,353,1109,633
193,10,842,322,894,454
194,6,1041,353,1108,635
194,10,844,323,897,453
195,6,1042,354,1106,633
195,10,849,322,900,454
196,6,1041,350,1105,627
196,10,851,323,903,454
197,6,1040,348,1103,626
197,10,853,324,905,454
198,6,1039,348,1102,628
198,10,853,323,907,454
199,6,1035,349,1101,631
199,10,857,323,909,455
200,6,1031,349,1100,632
200,10,859,323,911,455
201,6,1028,349,1098,633
201,10,861,323,912,455
202,6,1026,350,1095,634
202,10,863,324,912,456
203,6,1019,348,1090,634
203,10,867,325,913,455
204,6,1015,348,1087,633
204,10,870,325,914,455
205,6,1009,347,1086,633
205,10,872,325,915,455
206,6,1006,348,1084,634
206,10,875,324,916,455
207,6,996,351,1082,634
207,10,877,324,918,455
208,6,987,353,1080,634
208,10,878,322,920,456
209,6,976,354,1078,634
209,10,879,321,921,457
210,6,968,352,1076,636
210,10,880,322,922,457
211,6,960,352,1074,637
211,10,880,322,922,457
212,6,956,351,1073,638
212,10,882,324,924,456
213,6,955,352,1072,638
213,10,882,324,925,456
214,6,953,353,1071,638
214,10,883,323,927,456
215,6,954,353,1072,638
215,10,886,323,930,455
216,6,955,352,1073,638
216,10,885,324,934,455
217,6,956,354,1071,637
217,10,886,322,935,457
218,6,957,354,1068,636
218,10,886,322,936,458
219,6,958,357,1063,635
219,10,886,323,937,460
220,6,957,357,1056,635
220,10,886,322,938,463
221,6,957,356,1050,635
221,10,887,322,939,462
222,6,957,355,1041,636
222,10,888,322,940,461
223,6,952,353,1028,639
223,10,890,322,939,460
224,6,948,352,1018,643
224,10,892,324,939,461
225,6,945,352,1014,645
225,10,894,324,941,462
226,6,940,352,1011,644
226,10,896,324,941,463
227,6,919,353,1008,641
227,10,899,325,944,462
228,6,904,353,1005,639
228,10,901,325,947,462
229,6,894,352,1004,638
229,10,903,325,950,461
230,6,885,354,1002,638
230,10,906,324,949,448
231,6,880,355,1000,636
231,10,909,323,959,431
232,6,878,350,998,636
232,10,911,324,959,418
